Gene ID,RE:SN12C,RE:A498,RE:CAKI-1,RE:ACHN,RE:UO-31,RE:786-0,RE:RXF-393,RE:TK-10,ME:M14,ME:UACC-257,ME:SK-MEL-28,ME:UACC-62,ME:LOXIMVI,ME:SK-MEL-2,ME:MALME-3M,ME:SK-MEL-5,LC:NCI-H522,LC:NCI-H23,PR:DU-145,CO:HT29,CO:SW-620,CO:HCT-15,CO:COLO205,CO:KM12,CO:HCC-2998,BR:T-47D,BR:MCF7,LC:NCI-H322M,CO:HCT-116,LE:SR,LE:RPMI-8226,LE:K-562,LE:HL-60,LE:MOLT-4,LE:CCRF-CEM,OV:IGROV1,OV:OVCAR-4,OV:OVCAR-3,PR:PC-3,OV:OVCAR-5,OV:SK-OV-3,BR:MDA-N,BR:MDA-MB-435,BR:MCF7/ADF-RES,OV:OVCAR-8,LC:NCI-H226,LC:HOP-62,CNS:U251,CNS:SNB-19,BR:BT-549,CNS:SF-268,CNS:SF-539,BR:HS578T,CNS:SNB-75,CNS:SF-295,LC:EKVX,LC:A549/ATCC,LC:NCI-H460,BR:MDA-MB-231/ATCC,LC:HOP-92
GENE3422X,0.2468,-0.2277,0.3191,0.8528,0.4306,-0.1609,-0.2809,0.5491,-0.1194,-0.8209,-0.09742,-0.07594,0.5106,-0.2584,0.6028,0.1787,0.4715,0.5191,0.21,-2.521,-0.296,0.6691,-3.119,0.1228,-0.2503,-1.891,-0.9177,-1.661,-0.1403,0.04406,-1.048,0.4484,-0.7097,0.05938,0.1116,-0.07617,-2.475,-3.351,0.4194,-0.2906,0.3041,-0.1897,-0.1309,-0.2469,0.6312,1.099,0.4313,-0.3909,-0.04328,0.3709,1.179,0.8582,0.06156,-0.476,-0.2607,-0.7509,0.1409,1.031,0.3572,0.1291
GENE3423X,-1.18,1.345,-1.158,0.7758,1.024,1.222,2.162,0.332,-2.226,-0.828,-0.4545,-1.213,-0.2764,-1.645,-1.524,-1.488,-1.166,0.332,1.213,,1.147,-0.948,2.514,-0.06422,0.1627,-0.4077,2.435,1.532,2.143,-2.983,2.145,-0.09859,0.6133,-1.008,-0.3555,0.2168,0.7175,1.242,-0.3377,0.5123,0.837,-1.747,-1.618,-0.4139,0.3242,0.112,-0.8158,-1.998,-1.29,-2.096,-0.238,0.001133,1.235,-0.393,-1.598,1.192,0.6138,1.514,2.69,1.142
GENE3424X,0.6004,1.506,0.1626,0.3364,0.9542,0.7126,0.5426,-0.6574,0.8341,1.223,1.756,1.708,2.604,0.5951,1.176,1.372,-1.425,-1.037,-1.016,-1.007,-0.05244,-0.7474,-0.2154,-0.3336,-0.5368,-0.8971,0.0959,0.4826,-0.6668,1.098,-0.3141,-1.488,-1.016,-0.5671,-0.7849,-0.5726,-1.222,1.453,-0.5171,0.05293,0.6876,1.654,1.803,-0.9933,-1.065,0.4726,-0.7352,1.073,1.78,-0.7355,-1.437,1.682,-0.1449,-0.3324,0.9729,-1.937,0.5544,-2.806,-1.519,1.333
GENE3425X,-0.2181,-0.8526,-0.2159,2.688,0.1157,1.224,0.8841,-0.1559,0.6156,1.074,2.528,0.2491,1.366,1.647,0.9179,-0.2162,-0.5235,4.024,-1.465,-1.546,-0.891,-0.8859,0.01609,-0.9321,-0.4953,-0.4057,0.1874,-0.9059,1.675,0.4291,-0.6326,0.2435,1.195,-0.8256,-0.4334,-0.9711,-0.4604,-0.0159,0.3544,-1.016,0.3991,0.9554,1.924,-0.7218,-0.6938,-1.006,-0.1437,0.8341,0.7918,-1.574,-0.3059,-0.0468,1.067,-0.651,0.4343,3.094,3.396,7.946,-0.6778,0.8141
GENE3426X,-5.921,-0.3754,-1.199,-0.1549,0.5329,-0.4087,-0.8087,0.5313,1.883,1.301,1.445,1.476,-1.567,1.214,1.455,2.361,-3.596,-1.409,-1.148,2.651,1.256,-0.03867,1.073,1.775,1.292,-0.008437,-0.9054,2.621,0.502,-4.404,-2.825,-3.739,-2.847,-4.318,-4.966,-2.984,-2.833,-1.009,0.7116,0.7116,-1.234,1.153,1.231,-0.6246,-1.297,-1.459,0.1235,0.8713,0.008984,0.3332,0.7113,0.1704,1.114,1.486,0.1916,-0.08867,-0.1469,-1.727,-0.3805,0.7213
GENE3427X,0.0007422,-0.00375,-0.507,0.5167,0.6945,0.533,-0.387,0.103,0.1745,0.203,0.5265,0.658,-0.3355,-0.4745,1.057,-1.697,0.9254,-2.747,-0.6061,0.07297,-0.2721,-0.517,0.004961,0.1567,-0.4564,-3.267,-2.244,-2.357,0.4436,0.698,-0.3537,-3.358,0.5342,-0.9967,-0.6845,-0.2123,-0.5515,-3.247,0.1533,-0.8467,-0.172,0.5842,,0.167,0.2951,0.05297,0.3052,0.283,1.091,-0.3952,1.053,0.9721,0.1155,-0.4621,-0.2268,-0.03703,-0.8152,-0.4155,0.6311,1.033
GENE3428X,-1.305,-0.6592,1.988,-0.3287,-1.181,-0.2025,0.0375,-0.3625,-1.521,-0.2025,-0.519,1.483,0.4991,0.3,-1.069,-1.243,-0.4201,3.768,-0.001562,,-0.4276,-0.1125,0.1095,0.00125,0.3781,-0.9423,-1.079,0.0975,-0.9519,0.2925,0.8008,1.157,0.4088,-0.1822,0.75,0.03227,0.143,0.3275,0.3778,-0.3322,-0.2175,-1.241,-0.4025,0.09156,-0.0003516,-1.572,0.4297,0.4175,-0.3448,0.8494,0.4275,,-0.35,-1.708,0.2177,0.1575,0.1893,,,
GENE3429X,2.345,-1.86,-2.693,0.3506,1.398,-2.473,-3.143,-2.963,-1.532,-4.043,-1.21,0.7419,2.368,2.679,1.631,-0.8734,0.6793,1.717,1.988,,-3.288,1.507,-2.531,-2.069,-0.0425,1.577,-0.3098,2.177,-3.002,1.902,-1.69,0.2762,1.508,-2.893,-0.3306,-2.688,0.1624,0.9469,-0.5128,1.967,-2.488,-5.782,-7.743,3.971,-1.591,-2.433,0.2291,-3.983,-2.115,-0.00125,-0.6631,0.806,-0.1606,0.6518,0.1471,1.237,1.249,3.658,1.195,2.047
GENE342X,-1.562,1.483,2.13,2.074,1.892,-0.82,-1.05,-0.12,-2.248,-1,-2.676,-1.325,0.4516,-0.6075,0.6937,-1.13,-2.268,-1.11,-0.3391,,1.555,1.37,0.402,0.4237,-3.029,1.29,-0.2667,0.36,2.071,1.815,1.903,-0.03063,0.2512,4.2,2.812,2.575,0.5455,0.46,-0.009688,0.9503,1.595,-2.089,-3.19,-1.016,-0.6679,0.93,-1.328,0.8,1.628,-2.658,0,-0.5409,,-2.445,-0.2298,,1.332,1.112,-2.452,-2.62
GENE3430X,1.413,1.188,1.205,2.279,2.126,0.8149,1.255,0.4949,-0.4336,-1.165,-0.5016,-0.6301,0.6165,-1.603,-1.051,-2.355,-1.683,-2.155,-0.2641,-0.8651,-1.08,-0.3951,-1.243,1.009,0.1555,-1.225,-0.9818,-2.055,-0.3445,-1.07,-0.0118,-2.416,-2.924,0.3752,1.377,1.83,-0.04957,-0.5051,0.06523,0.2552,1.48,-1.144,-0.5051,0.169,0.8371,0.7349,0.1471,-0.03508,0.01258,-0.3532,1.905,1.544,1.687,0.1499,0.4152,0.3449,0.8767,-0.2135,1.203,-1.205
GENE3431X,-0.606,1.09,1.076,1.14,1.568,-0.4437,0.6262,-0.3038,1.268,-0.1137,-0.2702,0.3813,0.6178,0.2888,0,1.276,-1.021,2.356,-0.9028,,-2.059,0.8263,-1.482,-0.82,-0.9331,-0.6735,,1.226,0.5769,-5.079,-2.18,-0.7944,-1.682,-1.143,-1.261,-0.399,-1.008,-0.7737,-0.6634,-2.063,-2.159,0.0675,0.4563,0.9003,-0.2416,0.7763,0.2584,1.106,0.2339,-2.432,0.7663,0.9254,,0.6012,0.5065,0.8462,-0.432,0.3578,-0.9756,0.1862
GENE3432X,-1.943,-0.2573,-0.02063,0.3831,0.2709,-0.2106,-0.7806,-0.09063,-0.3491,0.8994,-0.4971,-0.3456,-0.9791,0.4119,-0.3069,-1.201,0.7518,0.7494,0.02031,0.1894,1.054,0.9994,1.471,0.05312,0.8,1.12,1.353,0.9494,0.73,1.454,-0.5073,0.03875,-0.1194,1.7,0.8019,-0.2259,-0.5651,-0.3206,-0.1603,0.9097,-0.7656,-1.369,-1.101,1.363,0.7115,-0.4506,0.1416,0.5694,-1.203,-2.359,-1.141,-1.302,-2.328,-1.276,-1.57,-0.4606,0.2012,0.3109,0.8475,1.669
GENE3433X,,0.2373,-0.3059,-0.8822,0.03562,-0.03594,0.2641,-1.656,0.6056,-1.036,-1.472,-0.08094,-0.2044,-1.263,-0.2822,-0.5063,0.8565,0.2241,0.475,,0.679,0.3441,-1.294,-0.3022,-0.4853,1.304,0.4173,0.1241,-0.3653,-3.161,-1.293,-1.777,-0.3947,-1.126,-1.143,-0.7812,0.9196,0.1541,1.564,1.024,-0.2509,0.1253,-0.3659,-0.1719,-0.3938,1.344,-0.1737,1.114,1.402,1.136,1.364,1.743,1.607,2.929,1.534,-0.1459,-0.1941,0.6056,1.422,1.334
GENE3434X,0.3419,0.1974,-0.0659,-0.3421,0.3857,1.284,0.5941,-0.2159,0.1856,-0.005898,-0.07238,-0.3409,-0.05434,-0.3934,-0.2321,-0.1462,-0.8835,0.6041,-0.09496,1.824,-1.231,0.3441,0.006094,0.7179,0.4247,0.3043,0.8974,1.054,0.1347,-6.421,0.7074,0.9335,-0.05465,1.034,0.2566,1.999,-0.3004,-0.7559,0.02441,0.7344,-0.4209,-0.02465,0.0141,1.038,0.4462,-0.2359,-0.08371,-1.196,-0.7182,1.496,-0.4159,2.083,0.9166,-0.141,-0.2157,0.3341,-0.0141,-0.2143,-1.938,-0.6659
GENE3435X,,0.04531,-0.168,-0.4242,-1.046,0.532,0.442,-0.558,-1.146,0.672,-0.02445,-0.233,0.4436,1.365,-0.6142,0.001719,-0.3155,0.492,-1.407,0.912,1.227,-0.007969,-0.116,-0.2842,-0.4173,0.5823,,0.102,0.1627,-2.373,0.5953,0.3414,0.6833,0.9123,0.3945,0.2768,0.2975,-0.598,0.2023,0.2223,3.317,-0.5467,-0.558,-0.3639,0.1242,-0.178,-1.496,-0.948,-0.7903,-0.2961,-1.068,0.001133,4.445,1.567,1.742,-0.838,-0.3062,,0.7402,-2.458
GENE3436X,,-0.6477,0.009063,0.02281,-0.009375,-0.05094,-0.6009,-0.3809,0.1006,-0.4609,0.1126,-0.4859,0.09062,-0.2384,-0.03719,-0.2313,-0.008496,1.239,-0.5,0.04906,1.144,0.1591,1.421,0.3728,0.7797,0.8293,1.692,0.7691,-0.6603,-0.1559,-0.2777,-0.2616,0.4003,-0.1506,0.5216,-1.106,-0.4054,0.7391,1.869,1.199,-0.2359,-0.4597,-3.681,-0.5969,-0.4388,-0.9209,0.3513,0.2191,0.02672,-1.269,-0.7709,0.1882,-0.6384,1.634,0.0593,1.729,1.971,,0.6372,-1.561
GENE3437X,1.667,1.192,1.419,0.3128,0.6406,0.7291,1.119,-0.01094,0.6706,-0.3809,0.9426,-0.04594,-0.7194,0.06156,-0.7472,0.7687,0.001504,-0.2309,-0.28,-4.031,-1.396,-0.5509,-1.559,-0.3972,-2.14,1.169,0.002344,0.2391,-1.17,-1.686,-1.538,-1.462,-0.6497,-1.051,0.05156,-0.4162,1.965,2.329,-0.9906,-0.6406,0.2641,0.8703,0.5491,0.1131,0.4012,0.5591,-0.1788,-0.2909,-1.163,0.4109,0.8691,1.468,0.9116,0.704,-0.4407,-0.1009,-0.1091,,-0.002812,0.05906
GENE3438X,-3.302,0.8433,,-0.6363,-2.608,-1.19,-1.71,-2.76,-2.838,1.25,-0.4165,2.065,0.1516,0.7025,-1.506,0.6997,-1.808,0.32,0.05094,0.99,-1.475,1.58,-0.638,1.414,0.3506,2.12,0.7833,-0.19,0.2006,-1.325,1.053,0.6694,0.09125,-1.45,-2.038,-1.605,0.3355,0.42,0.3803,0.1003,1.585,0.2912,0.61,-1.716,-2.498,0.25,-1.308,-1.56,-1.852,-0.8381,0,-0.2609,-4.368,-3.375,-3.38,1.66,1.182,2.152,-0.7819,-0.6
GENE3439X,-3.057,0.9785,0.5752,0.699,0.9468,0.1252,0.05523,-0.3648,0.3168,-0.5348,-0.6012,-0.07977,-2.043,-0.9023,0.269,0.3449,0.4677,-1.225,0.6162,-0.7948,-0.009824,0.3652,-0.3928,-0.351,0.3259,0.1555,0.9185,-0.2748,0.09586,0.5802,0.2985,-0.6154,-0.1135,-2.274,-0.9123,-0.51,0.4507,0.05523,-0.3245,0.03555,0.9902,0.3465,0.7552,-0.4507,-0.2426,0.6652,-0.08258,0.4352,0.002891,-0.1129,-0.7948,-0.4957,-0.002266,1.4,0.8155,-0.3048,-0.01297,-1.953,0.5634,-0.7848
GENE343X,0.5078,-0.1467,0.6,-0.5462,0.1416,-0.08,0.19,-0.02,-2.338,0.4,-1.066,1.165,-0.2284,-0.4275,-0.2963,1.19,0.03244,-0.16,1.201,0.23,-0.01506,0.76,0.452,0.1337,-0.1894,1.43,1.173,0.8,-0.3594,0.715,1.353,0.4394,0.3613,2.07,1.012,-0.1752,-0.6045,,0.1703,-0.1497,3.005,0.7613,1.11E-08,-0.5659,-1.538,-0.59,-0.2278,-0.2,0.01766,-0.4681,-0.77,0.0391,-0.7675,-2.035,1.15,-0.68,-0.6182,-1.588,0.4781,-0.04
GENE3440X,,1.016,3.113,-0.7937,4.024,-0.6975,-0.6575,-0.0975,2.544,4.043,0.236,-0.0025,0.6041,-0.475,5.036,-1.868,-1.375,-0.7375,-0.2066,-3.827,-1.863,0.2125,-1.866,5.796,0.1631,-1.377,-1.054,0.0025,-0.1269,-2.702,0.8458,0.3419,0.3038,-1.157,-1.955,-0.3527,-0.422,-1.377,-0.2672,-0.9472,-1.462,0.7838,1.633,0.5666,2.645,5.453,1.185,-0.0975,0.06016,1.274,1.903,2.502,-1.465,2.457,0.3427,0.3125,-0.0657,-2.176,,0.4725
GENE3441X,-0.2466,0.1989,0.2656,0.2294,-0.6928,-0.2344,-0.3644,-0.8744,1.177,0.4256,0.2591,0.3406,-0.1328,0.5781,0.3094,0.07531,-0.9219,-0.5844,-0.1234,1.956,-1.189,0.4856,0.4176,0.7094,-0.08375,1.186,1.749,0.9556,-0.6838,-0.7394,1.619,0.765,-0.07312,-0.3541,-1.242,-0.4996,0.5711,0.6156,-0.1241,-0.3441,0.1006,1.097,0.9756,-0.0003125,-0.01223,0.03562,-0.6222,-0.1744,0.8233,-0.3225,-0.5244,0.09473,-0.5319,0.5806,-0.9741,-2.404,-0.5626,,0.2438,-0.8844
GENE3442X,-5.702,0.1633,0.43,0.2137,-0.7984,-0.33,0.02,1.75,-0.6685,-1.31,-0.6865,-0.725,2.202,-0.1975,-0.7763,-0.5903,-0.8176,-0.3,0.1109,,-1.115,0,-1.018,0.6737,0.7706,-0.9998,-1.637,0.22,-0.8094,-0.785,1.023,0.4494,0.1812,-0.6997,0.6025,0.6648,0.5455,-0.11,0.2603,-0.03969,0.335,-0.8588,-2.2,-0.6059,-1.038,2.88,0.2522,0.74,0.4877,1.802,0.7,-0.8509,0.7925,0.1849,-1.28,2.48,1.582,-0.3584,-1.372,1.71
GENE3443X,0.4246,-0.8498,-0.9331,-0.5594,-0.3116,-0.9431,-0.3331,-1.423,-0.7216,0.2169,-1.2,1.132,-0.09156,0.4694,-0.09938,0.3466,0.5793,0.09688,-0.4522,0.4369,-0.07818,0.1369,2.199,-0.7094,0.9175,-0.4729,-2.14,0.3469,-1.022,0.5219,1.4,-0.1338,-0.1619,0.2272,1.639,-0.1384,0.1624,-1.043,0.01719,1.347,6.102,-0.1319,0.2169,0.5309,-0.661,0.1669,-1.031,0.4669,-0.6355,-0.00125,0.1369,0.01598,0.5594,1.202,-1.243,-0.2531,-1.011,,0.415,-1.523
GENE3444X,,0.7665,-1.317,-1.273,-1.755,-0.7268,-0.5868,-0.8868,3.325,1.673,0.01672,3.058,-0.4452,-0.9543,-0.583,0.4429,-0.01436,-0.1068,0.3541,2.753,1.508,,2.985,0.477,0.5438,-0.6466,2.156,1.913,0.1738,-0.2418,0.6765,1.133,1.134,-0.5065,-0.5243,0.03797,0.6787,-1.317,0.4535,1.414,-0.2018,-0.8155,-1.087,0.5573,0.2154,0.7932,-0.5546,-1.187,-1.459,-1.935,-1.407,0.2223,-2.554,-0.4919,-1.367,1.303,0.545,3.035,-2.679,-0.1168
GENE3445X,0.3828,-0.6617,-0.125,0.02875,0.04656,0.005,-0.645,0.205,0.01652,0.045,-0.5615,0.22,0.6666,-0.2525,-0.05125,0.4147,1.757,-0.845,0.2159,-0.745,0.6599,-0.075,1.627,-0.7812,0.1056,-0.04477,0.1783,-0.015,-0.8244,-1.09,1.558,0.9544,-0.5537,0.9453,0.8075,-0.3502,-0.06949,-0.625,-0.2447,0.6153,-0.1,0.3563,0.525,0.3891,0.4771,-0.385,-0.3828,-0.565,-0.1373,-0.08312,0.495,-0.4859,2.268,0.9799,0.7252,-0.335,-0.2132,-0.7334,0.8731,-0.005
GENE3446X,-0.4079,0.1277,-1.146,-1.542,-1.594,-0.4056,0.03437,-1.106,-1.284,1.174,-0.3821,-0.6106,-0.5541,-0.3231,0.1281,0.1741,0.4468,0.8544,-0.2447,-2.216,0.2293,0.1144,2.276,-0.1719,-0.625,2.335,0.9577,-0.1356,0.255,-1.431,1.928,1.054,-0.06437,0.08469,0.3069,-0.4209,0.4399,-0.4756,-0.1853,-0.03531,0.1194,-0.03437,0.2444,-0.5016,-0.5735,1.274,-0.4734,1.204,1.892,1.066,-0.2856,0.1735,1.967,1.249,-0.4154,0.5744,0.3262,1.536,-1.817,-1.716
GENE3447X,-0.8829,-0.3473,-0.1706,-0.5369,-0.1891,-0.2906,-0.4506,-0.2506,1.721,1.759,2.623,2.814,0.5409,1.462,1.183,3.499,-0.06818,-0.2606,-0.01969,-0.2406,2.004,0.01938,0.9014,2.133,0.69,-0.4704,-0.3073,0.1094,0.45,-1.416,0.04266,-0.2513,-0.3094,-0.2503,-2.658,0.4141,0.1449,1.119,0.3797,0.2997,0.9044,1.991,1.869,-0.6466,-0.7485,-0.1106,-0.1384,0.7094,0.937,0.2612,-0.9806,-0.9415,0.09187,0.6043,-2.55,-0.6606,-0.7888,2.091,-1.462,-2.951
GENE3448X,,-0.1917,-1.115,0.2388,-2.333,-0.575,-0.125,0.025,1.117,-2.755,-0.09148,-0.8,,-0.7125,-0.3412,0.1047,-0.5326,-2.505,-2.904,1.265,-0.2001,-0.705,,,-0.3044,0.4052,0.5683,1.145,0.7556,1.61,,2.094,2.826,1.285,0.4775,-1.2,1.761,-1.165,-0.08469,-1.405,3.72,0.1463,0.135,0.9091,0.1071,0.455,-1.143,0.635,3.203,0.3469,0.525,-1.466,0.5475,,,-0.025,-0.1232,-1.503,,-1.455
GENE3449X,,-0.5086,0.2281,0.02187,-0.5903,0.6181,-0.3119,0.4981,1.42,0.1581,0.1716,-0.2869,0.4097,-0.08938,-0.1781,,2.901,2.148,-0.2509,-2.432,-0.6569,-0.1019,1.17,0.3819,0.04875,-0.08164,-0.1486,0.07812,-0.4413,3.673,0.4214,1.327,-0.3806,-0.02156,0.1006,0.1429,0.3936,-0.07187,-0.1616,0.2684,0.9031,-0.9106,-0.5419,-0.1878,0.5003,-0.3519,-0.4197,-0.3719,0.04578,-0.13,0.3281,-0.8928,-1.709,,,-0.4419,0.4599,-2.2,0.5963,1.368
GENE344X,,,0.43,,,1.52,-0.1,-0.25,-1.708,-1.19,-0.5165,0.255,-0.4784,3.032,0.7837,1.48,0.6024,,,,-1.005,-0.28,0.04199,-1.126,-1.949,,,1.54,3.241,0.155,-0.3467,-0.3506,,2.34,1.462,1.825,,-0.54,1.39,,-1.035,-0.1087,1.11E-08,-0.1459,-1.688,,-2.198,,-0.3623,1.572,1.32,,3.662,,,2.42,0.0218,,-0.6619,
GENE3450X,0.6504,-0.7541,-0.1373,-0.2836,-0.2858,-1.207,-1.967,0.6827,-0.3258,-0.3873,-0.3138,0.2277,0.3342,-1.725,-0.3936,0.5723,0.8751,0.9527,-0.1364,0.8427,0.6776,0.7527,1.005,1.296,1.323,0.3929,0.6359,0.8627,0.4933,1.138,-0.2641,-0.158,0.8839,1.913,-0.01484,0.2074,-0.4118,0.1927,0.293,0.583,-0.2323,-1.076,-0.8073,0.3067,-0.1352,-0.4173,0.01484,-0.02734,-0.1097,-0.2255,-0.2173,0.3318,-0.05484,-0.0424,-4.247,-0.5873,0.1445,2.654,0.3608,-0.5673
GENE3451X,0.2796,0.4851,-1.018,-1.134,1.833,-1.598,0.6718,-0.7382,-0.3866,-0.3482,0.1554,-0.9832,-0.2366,0.1843,1.306,0.8815,-0.7357,-3.938,-0.2872,1.982,-0.3732,-0.2782,-0.03617,0.2856,0.1325,-0.3179,0.8951,0.1518,0.06246,0.6968,-3.175,0.7112,-0.03691,1.272,0.1343,-0.5134,0.007344,-0.6282,-0.007852,0.3721,0.1068,1.073,0.4018,-0.4041,-0.666,-0.4782,,-0.1682,-1.171,0.9237,0.1518,0.01094,0.5943,-1.063,-1.338,-0.08816,-0.5164,,0.68,2.642
GENE3452X,,-0.1275,-0.1408,-0.247,2.041,0.09922,-0.2208,-0.2008,1.321,-0.4908,-0.07727,0.2742,0.1608,0.4817,-0.757,0.9489,0.1717,0.5192,-0.2398,0.7892,0.07416,-0.01078,0.3012,-0.02703,-0.08016,-0.8205,0.6225,0.6592,-0.2502,0.8542,-0.0875,0.8986,0.7705,1.32,0.2817,-0.276,0.8647,0.2192,-0.6205,0.1395,0.4942,0.2705,-0.6308,0.1133,0.01137,-0.3108,,0.1192,-0.2031,-0.3289,-0.02078,-1.052,-0.2283,-1.336,-2.441,-1.651,0.01102,1.071,-1.143,-2.191
GENE3453X,0.2106,0.3161,0.1728,0.006563,-0.3256,-0.6472,0.2228,-0.3772,0.06434,0.3928,-0.2837,-0.9122,-0.7356,-0.6547,0.1866,-0.3975,1.075,0.4628,-0.4462,1.153,1.078,0.4328,2.345,1.077,0.9034,-0.347,0.7161,-0.3472,-0.04656,1.178,0.07609,0.3822,1.844,1.593,1.475,-0.3824,-0.1217,0.6228,-0.006875,-0.1869,-0.5822,0.3341,-0.3272,-0.3231,0.105,-0.4872,-0.175,-0.007187,0.04047,0.6447,-0.5572,0.9019,-0.9347,-0.7922,-0.707,-0.1472,-0.5354,-0.03562,-1.359,0.3428
GENE3454X,-3.618,,0.5842,0.218,0.8658,0.4442,-0.1658,-0.4358,-2.234,-0.8858,0.1577,2.149,0.2558,,-0.972,0.6039,,0.2742,-0.4448,0.3242,-0.1908,0.4342,-0.1838,-0.252,-0.005156,2.884,-0.6925,-0.07578,-3.055,,-1.312,-0.1364,0.005469,2.275,0.3567,0.06898,0.6397,-4.406,-0.3155,-0.7355,,0.005469,1.134,-0.6717,-1.724,0.2342,-0.03359,1.314,1.532,0.5061,2.724,-0.1967,0.7767,-2.911,,,-2.674,,,
GENE3455X,-2.417,0.8983,1.225,0.9688,-1.003,0.365,-0.025,-0.685,0.2565,0.545,-0.1715,-0.2,2.497,0.6875,0.9088,-1.265,-0.7426,0.555,0.5459,-4.025,-0.5701,0.115,0.08699,1.519,1.186,-0.1948,-0.1117,0.025,0.5256,-0.76,1.578,7.954,1.526,-0.6647,-0.6125,0.8798,1.041,0.105,2.475,0.1353,-0.22,-1.474,-0.595,-0.5309,-1.393,-0.085,-1.203,0.235,-0.2273,0.05688,-0.825,-4.116,-3.832,-0.2601,0.2752,0.215,1.037,-0.9634,-0.7769,-2.165
GENE3456X,0.0007422,-0.7437,-0.04703,-0.7333,0.4945,0.213,-0.457,-0.667,-0.06551,1.263,-0.9635,0.278,-0.6055,-1.385,0.2667,-0.01734,-1.455,-0.197,0.2439,1.753,0.3379,1.403,1.735,0.8867,1.604,1.423,2.726,1.603,-0.1464,-0.202,0.3763,0.1423,-0.1858,0.8633,-0.06453,-0.2223,0.5785,0.213,-0.2667,-0.2467,3.278,0.1542,0.07297,-0.423,-0.4249,-0.347,0.2652,-0.747,0.8206,0.04484,-0.567,-1.188,1.445,-1.322,-0.0668,0.143,0.3848,,-0.7889,-1.387
GENE3457X,-5.265,0.2708,1.408,1.261,-1.351,0.0375,-0.4125,-1.843,1.019,3.108,-0.109,-0.5075,-0.1509,-1.54,2.781,1.457,-0.3701,-0.3125,1.218,3.808,2.462,4.488,4.949,3.501,3.828,4.658,5.271,4.577,1.578,-0.6975,1.661,-0.09312,-0.3912,-0.5122,-2.15,1.442,3.153,2.728,1.708,-0.002187,0.2625,-2.081,-1.632,0.001563,-1.6,0.1475,-1.57,-0.5825,-1.485,-0.03063,-0.6525,-0.0534,-1.54,0.5324,-0.2023,3.147,2.669,-0.6509,-4.484,-3.233
GENE3458X,0.9978,0.1433,0.37,0.7838,0.1316,-0.36,-1.16E-08,0.01,2.052,1.49,0.9935,1.615,0.5116,1.512,3.094,2.12,1.442,-0.07,0.2309,-1.2,-1.085,-0.65,-0.298,-0.7863,-0.5594,-0.3198,-0.8767,-1.02,0.3106,-0.575,-2.117,-0.1406,-0.2987,0.0003125,0.3425,-0.02523,-1.174,-0.37,-0.5297,-0.9697,0.055,1.401,1.31,0.4541,0.5021,-0.41,0.7322,0.35,-0.8323,-0.2181,-0.52,1.039,1.172,0.1649,-0.4898,-0.09,-0.4382,-0.2784,-0.2519,0.78
GENE3459X,0.9668,-1.388,-0.1409,-0.4372,-0.3794,-0.4009,-0.3709,-0.2309,1.011,0.1791,-0.4074,0.6741,0.1506,1.122,0.07281,0.7087,0.001504,0.8591,-0.25,-1.171,0.834,-0.2709,-0.1589,-2.077,-0.09031,0.3793,0.6123,-0.2409,0.2097,0.6441,0.6823,-0.1916,-0.4397,0.2994,-0.2284,-0.4262,-0.3854,0.5391,-0.1206,0.4594,0.07406,0.4403,1.389,0.8331,0.2012,0.1791,0.1512,-0.2109,-0.8033,-0.5491,0.009063,-1.292,-0.8084,-1.556,,-0.7109,-0.1191,2.821,0.5472,3.109
GENE345X,-3.029,0.2566,-0.03672,-0.103,-1.805,0.5033,0.1533,-0.8567,0.0148,0.7333,0.4568,-0.2017,-1.465,-1.404,-0.213,-0.117,0.2957,0.4533,0.7242,-2.607,0.3782,0.7233,-0.8447,0.767,0.2639,0.02352,0.4066,0.6933,1.314,-0.4817,1.777,5.423,-1.295,0.1636,-0.01422,0.298,-0.6312,0.4633,-0.5664,1.084,-1.152,-0.6055,-4.047,0.4973,-1.135,0.1433,-1.275,-0.6267,0.03094,0.9552,-1.457,1.032,-2.554,-0.5918,-0.3365,0.1633,0.5251,-1.045,-5.399,-4.447
GENE3460X,-1.001,-1.035,0.1317,0.6754,-0.1168,0.6617,0.9017,1.522,-1.137,-0.7183,-2.125,-1.193,-0.3868,-0.4258,0.3754,-1.109,-1.506,-0.5283,-0.2674,-4.938,-1.453,-0.05832,-0.7863,1.165,0.6423,-1.148,-1.005,-0.7483,-2.468,-1.753,0.465,-0.3789,0.00293,-0.108,0.3542,2.256,-0.002812,0.1217,-0.608,1.062,-1.463,-0.7471,0.3817,-0.8943,1.314,0.6317,1.044,1.132,0.3593,0.6936,1.802,1.571,1.354,5.737,2.102,0.5117,0.2035,-3.447,1.08,1.422
GENE3461X,0.5086,0.04414,0.1109,0.8946,-0.1076,-0.05914,0.5609,-0.2991,1.262,1.311,0.8744,1.316,0.2924,1.103,1.335,1.271,1.123,-0.2291,0.2618,-1.059,-1.034,-1.039,-0.2271,-0.5554,-0.5885,-0.3689,-0.5959,-0.9891,-0.1685,0.1159,-1.066,0.2302,-0.6379,0.2812,0.1334,0.1656,-1.504,-0.7291,-0.7588,-0.9388,-0.04414,1.072,1.101,0.3549,0.703,-0.2891,-0.117,-0.4891,-0.7715,0.1727,-0.1591,1.61,1.853,-0.1342,-0.2689,0.3909,-0.4873,-0.2076,0.06898,0.1509
